te,the
hao,greedy
hemo,passed out
kāpata,cupboard
ngenge,tired
pana,push
ui,ask
uku,clay
uwha,female
whakauru,enter
ariki,lord
kāwhe,coffee
kikī,packed
kohikohi,collect
miriona,million
panga,puzzle
tāhuhu,body
toto,blood
wehenga,division
whakanui,celebration
auau,frequency
kāpene,captain
karere,message
kiromita,kilometers
nekeneke,mobility
paki,sunny
pakipaki,applause
pūtake,base
putu,boots
reri,ready
whakatikatika,correction
hāmama,shout
hauora,healthy
kapi,covered
ngunguru,grunt
pātata,nearby
pātiki,patik
roanga,duration
tira,team
tuanui,ceiling
whakapae,suspect
whāriki,rug
kakara,smell
kawea,bring
kimihia,find out
kōhua,pot
kukume,attraction
ngātahi,together
piriti,bridge
retireti,skiing
rita,liter
tamāhine,daughter
taraiwa,driver
tarau,pants
tuki,hit
whara,injury
haina,signature
kā,ka
kake,go up
kano,vaccine
mīere,honey
panana,banana
piro,scored
pūrākau,story
tāpiri,add
tohua,select
whakatoi,Persecution
whiua,beat
ahatia,what
ākau,forest
āwangawanga,anxiety
kaimoana,seafood
kaipūtaiao,scientist
kānga,corn
māhau,me
mokomoko,lizard
pūmau,stable
rongoā,medicine
taupoki,lid
tuhituhinga,writing
awatea,daytime
haunga,except
hokona,sold
kahu,dress
mōhiotanga,knowledge
pirau,decay
pūrerehua,butterfly
uira,lightning
whakatūria,established
whiu,punishment
haki,check
hāunga,except
koina,that's it
maringi,spilled
ngau,bite
oreore,oreo
parauri,brown
tonoa,ask for it
whakairo,carved
whakapaipai,decoration
whāwhā,four
kōkiri,initiative
kōpae,disc
pāhi,press
paruparu,weakness
poka,hole
puru,blue
tātahi,one
uhia,cover up
wao,forest
kara,collar
kōrerorero,conversation
kōrerotia,talk about it
piupiu,piupiu
puoro,music
pūtea,budget
reta,letter
tonutia,continue
hekenga,migration
meatia,done
nau,yours
ngaungau,chewing
nōku,mine
nōna,it belongs to him
pakiwaitara,myth
pupū,gun
taitama,young man
taunga,acquaintance
wahie,fuel
waiariki,hot spring
whakahīhī,pride
whakapiri,contact
whāki,confess
aihikirīmi,ice cream
hara,crime
kakau,stem
kōrere,pipe
kuini,queen
pōhatu,stone
wawe,early
whakapai,improve
aorangi,planet
hāwhe,half
huritau,birthday
kamo,eyelids
